ID,CLOTHES NAME,Category,Style ,Style Jean,Temp,Season,Colors,Brand
49,GORILLA WHITE TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",white,Aape
50,GREEN CARGO SHORT ,Bottom,"Swaggy, Casual",,"""""""+25°""",Summer,green,Asos
51,GREEN ZIP HOODIE,Layer,"Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,green,Weekday
52,GREY COL ROULÉ,Layer,"Classy, Casual",,""""""" -20° """"""",Others,grey,Bershka
53,GREY FLARE JOGGER,Bottom,Joggy,Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",grey,Mnml
54,GREY HOODIE,Layer,"Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,grey,Zara
55,GREY ZIP HOODIE,Layer,"Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,grey,Weekday
56,HENRY BLACK TEE ,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer","black, red",RFG
57,HYPER BLUE AIR MAX 2.5,Shoes,"Swaggy, Joggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",blue,Nike
58,HYPER BLUE HOODIE,Layer,"Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,blue,Decathlon
59,LIGHT BLUE HOODIE,Layer,"Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,light blue,Zara
60,MULTI PATENT AF1,Shoes,"Swaggy, Joggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",pink,Nike
61,NC BLACK TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer","black, white",Nobody Cares
62,NC WHITE TEE ,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer","pink, white",Nobody Cares
63,PINK AMI CARDIGAN ,Layer,"Classy, Casual",,""""""" -20° """"""",Others,pink,Ami Paris
64,PINK PRIME AF1,Shoes,"Swaggy, Joggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",green,Nike
65,RAW BAGGY DENIM,Bottom,"Swaggy, Casual",Baggy,""""""" -20° """""", """""" +20° """"""","Others, Summer",,Weekday
66,SUPER EARTH ,Shoes,"Swaggy, Joggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",white,Adidas
67,US FLAG BLACK TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",black,Carpet Market
68,BLACK LONGSLEEVE,"Layer, Top","Swaggy, Joggy, Casual",,""""""" -20° """"""","Others, Summer",black,Weekday
69,WHITE FIT TEE,Top,"Casual, Joggy",,""""""" +20° """"""","Others, Summer",white,New-Yorker
70,WHITE FIT TEE COS,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer",white,Cos
71,WHITE LONGSLEEVE,"Layer, Top","Casual, Swaggy, Joggy",,""""""" -20° """"""",Others,white,Weekday
72,WHITE SUN TEE,Top,Swaggy,,""""""" +20° """"""","Others, Summer",white,Zara
73,WHITE TANK TOP ,Top,"Casual, Classy, Joggy",,""""""" +20° """"""","Summer, Others",white,Cos
74,WHITE TEE AIRISM,Top,"Casual, Joggy",,""""""" +20° """"""","Others, Summer",white,Uniqlo
75,WHITE TEE BOXY,Top,"Casual, Classy, Joggy",,""""""" +20° """"""","Others, Summer",white,H&M
76,YELLOW FLARE JEAN,Bottom,Swaggy,Flare,""""""" -20° """""", """""" +20° """"""","Summer, Others",yellow,Mnml
77,YELLOW NOCTA AF1,Shoes,"Swaggy, Joggy, Casual",,""""""" -20° """""", """""" +20° """""", """"""+25°""","Others, Summer",yellow,Nike
78,ZIDANE BLACK TEE,Top,"Swaggy, Joggy, Casual",,""""""" +20° """"""","Others, Summer","black, blue",RFG

79,ARTE STRIPPED SHIRT ,Layer,"Classy, Casual",,""""""" +20° """""", """""" -20° """"""","Summer, Others",light blue,Arte Antwerp


